rnbqkbnr/pp1ppppp/8/2p5/2P5/6P1/PP1PPP1P/RNBQKBNR b KQkq - 0 2 | b8c6 g7g6 g8f6
r1bqkbnr/pp1ppppp/2n5/2p5/2P5/6P1/PP1PPP1P/RNBQKBNR w KQkq - 1 3 | f1g2 b1c3
r1bqkbnr/pp1ppppp/2n5/2p5/2P5/6P1/PP1PPPBP/RNBQK1NR b KQkq - 2 3 | g7g6
r1bqkbnr/pp1ppp1p/2n3p1/2p5/2P5/6P1/PP1PPPBP/RNBQK1NR w KQkq - 0 4 | g1f3 e2e3 b1c3
r1bqkbnr/pp1ppp1p/2n3p1/2p5/2P5/5NP1/PP1PPPBP/RNBQK2R b KQkq - 1 4 | f8g7
r1bqk1nr/pp1pppbp/2n3p1/2p5/2P5/5NP1/PP1PPPBP/RNBQK2R w KQkq - 2 5 | e1g1
r1bqk1nr/pp1pppbp/2n3p1/2p5/2P5/5NP1/PP1PPPBP/RNBQ1RK1 b kq - 3 5 | d7d6 e7e6
r1bqk1nr/pp2ppbp/2np2p1/2p5/2P5/5NP1/PP1PPPBP/RNBQ1RK1 w kq - 0 6 | b1c3
r1bqk1nr/pp2ppbp/2np2p1/2p5/2P5/2N2NP1/PP1PPPBP/R1BQ1RK1 b kq - 1 6 | f7f5 c8f5 e7e5 e7e6
r1bqk1nr/pp2p1bp/2np2p1/2p2p2/2P5/2N2NP1/PP1PPPBP/R1BQ1RK1 w kq - 0 7 | a2a3
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2 | c2c4 g1f3 c2c3 c1f4 b1c3 c1g5
rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2 | c7c6 e7e6 d5c4 b8c6 c7c5
rnbqkbnr/pp2pppp/2p5/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3 | g1f3 b1c3 c4d5 e2e3
rnbqkbnr/pp2pppp/2p5/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq - 1 3 | g8f6 e7e6
rnbqkb1r/pp2pppp/2p2n2/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq - 2 4 | d1b3 e2e3 b1c3 c4d5 d1c2 g2g3 b1d2
rnbqkb1r/pp2pppp/2p2n2/3p4/2PP4/1Q3N2/PP2PPPP/RNB1KB1R b KQkq - 3 4 | d5c4 e7e6
